Fecha de solicitud;Grupo de compras;Solicitud de pedido;Pos.solicitud pedido;Material;Pedido;Texto breve;Fabricante;Nº pieza fabricante;Cantidad solicitada;Unidad de medida;Almacén;Nombre de proveedor;Nº material de proveedor;Proveedor deseado;Proveedor fijo;Proveedor;Creado por;Fecha de liberación;Fecha orden compra;Indicador creación;Contrato marco;Pos.contrato sup.;Pedido marco;Posición pedido marco;Planif.necesidades;Clase documento;Tipo de posición;Tipo de imputación;Reg.info de compras;Unidad medida pedido;Precio de valoración;Valor total;Moneda;Centro;Solicitante;Indicador de borrado;Status tratamiento solicitud pedido;Status tratamiento;Indicador de bloqueo;Texto bloqueo;Perfil piezas fabric.;Grupo de artículos;Número de necesidad;Entrada mercancías;EM no valorada;Recepción facturas;Posición de pedido;Plazo entrega prev.;Entregas (de/a);Liberación general de solic.ped.;Urgencia necesidad;Prioridad nec.;Nº reserva;Consumo;Categoría material;Fecha Aprobación;Liberador Siguiente
16/01/2023;C01;1000000040;40;1101142678;;SPARES FOR TRANSFORMER TLE/24 6500KVA O;OCREV;TLE/24-6500KVA-COOL;1;PI;PCON;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;1,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000040;50;1101142710;;SPARES FOR TRANSFORMER TOE/24 11500KVA O;OCREV;TOE/24-11500KVA-COOL;1;PI;PCON;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;1,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000042;60;1101139534;;SIMADYN D POWER SUPPLY UNIT SP 22.5 5V/2;SIEMENS;6DD1683-0CC5;1;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P02;ZS01;;;;;63,891.10;63,891.10;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;15/02/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000042;70;1101139526;;SIMADYN D POWER SUPPLY UNIT SP 8.5 5V/52;SIEMENS;6DD1683-0BC5;1;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P02;ZS01;;;;;58,192.67;58,192.67;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;15/02/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;JB2;1000000042;80;1301117290;;REPUESTO DE TRANSMISOR CAPACITIVO COMPLE;SIEMMILL;7ML5515-2AB01-1AA1-Z;1;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;7,702.39;7,702.39;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;15/02/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C11;1000000043;30;1301184647;;PANEL DE MODULOS;FIKE;502488;2;PI;TSHP;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P02;ZS01;;;;;2,489.74;4,979.48;PEN;1101;;false;05;N;;;Z001;IN0000010;;Sí;No;Sí;0;5;21/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000043;40;1101139500;;SIMADYN D SUBRACK SR 12.3 115/230 V AC I;SIEMENS;6DD1682-0BC3;1;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P02;ZS01;;;;;1,000.00;1,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;15/02/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000043;50;1101062793;;MOTOR ELECTRICO;SIEMENS;10HP/50HZ/380V;2;PI;PCON;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P02;ZS01;;;;;1,000.00;2,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C11;1000000043;60;1101139161;;LIN-300 PROTECTION BOX 14-12-8 - HOUSES;VIBRO;5500-00028;3;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;3,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000043;70;1101141316;;CAPACITOR 100000 UF 40 V SWE 1010312;SIEMENS;NMA1010312;3;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;3,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000043;80;1101141514;;CURRENT TRANSFORMER LT1000-TI/SP1 1000 A;SIEMENS;NMA654020;3;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;3,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C11;1000000043;90;1101140466;;LIN-331-15Q-2/20 LINEARIZATION MODULE L;VIBRO;9128-07131-41;4;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;4,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000043;100;1101141472;;HV RESISTOR 68 KOHM 10W;SIEMENS;NMA525683;4;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;4,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000044;10;1101141480;;HV RESISTOR 150 KOHM 12,5 W;SIEMENS;NMA530626;4;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;4,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C07;1000000049;20;1101277557;4500002047;LATCHKEEPER;P&H;R42621D2;1;PI;TSHP;JOY GLOBAL (PERU( S.A.C.;;;10000951;;FROSALES@ANT;16/01/2023;23/01/2023;R;;0;;0;P01;ZS01;;;5300052650;;289,602.39;289,602.39;PEN;1101;;false;05;B;;;Z001;IN0000011;;Sí;No;Sí;10;60;17/03/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C02;1000000053;100;1100459776;;ELEMENT, FUEL FILTER FILTRO DE COMBUSTIB;MITSUBI;ME229272;1;PI;TSHP;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;51.93;51.93;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;15/02/2023;Sí;0;0;0;;;16/01/2023;
17/01/2023;C05;1000000056;40;1100428565;;PIPE HDPE 2IN DIA100M X ROLLSDR 11 PE;;;882;ROL;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P02;ZS01;;;;;9.45;8,334.90;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;16/02/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;C01;1000000062;40;1101329200;;PRINTED CIRCUIT BOARD TYPE PS801;ABB;L964710114302000;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P01;ZS01;;;;;76,719.85;76,719.85;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;24/01/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;C01;1000000062;60;1101329192;;PRINTED CIRCUIT BOARD TYPE PS820;ABB;L964710114302001;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P01;ZS01;;;;;62,275.74;62,275.74;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;24/01/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;C01;1000000062;70;1100350520;;THYRISTOR SUPERVISION BACPLANE FOR CICLO;ABB;HIEE200044R0007;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P01;ZS01;;;;;60,977.76;60,977.76;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;16/02/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;C02;1000000062;80;1100422972;;BRAKE, COMPLETE MSDB1300;KONECRAN;MSDB650C01;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P02;ZS01;;;;;23,641.53;23,641.53;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;16/02/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;C01;1000000062;90;1101329218;;PRINTED CIRCUIT BOARD TYPE PS906;ABB;L964710114302016;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P01;ZS01;;;;;21,848.82;21,848.82;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;24/01/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;C01;1000000063;10;1300333708;;ELEMENT, MAGNETIC FLOW VALVULA ADICION A;ABB;TAG325-FE-6502;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P01;ZS01;;;;;10,310.99;10,310.99;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;16/02/2023;Sí;0;0;0;;;17/01/2023;
17/01/2023;JB2;1000000063;20;1300335851;;TRANSMITTER, FLOW INDICATOR;ABB;72923001;1;PI;CONC;;;;;;FROSALES@ANT;17/01/2023;;R;;0;;0;P01;ZS01;;;;;4,177.25;4,177.25;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;30;16/02/2023;Sí;0;0;0;;;17/01/2023;
